TaID,SiteID,GroupID,Sex,Birth_Year,Death_Year
Lauren,Old_North_End_Cemetery,5,F,1816,1899
Lauren,Old_North_End_Cemetery,5,F,1857,1861
Lauren,Old_North_End_Cemetery,5,F,1847,1897
Lauren,Old_North_End_Cemetery,5,M,1853,1873
Lauren,Old_North_End_Cemetery,5,M,1861,1885
Lauren,Old_North_End_Cemetery,5,M,1811,1873
Lauren,Old_North_End_Cemetery,5,M,1858,1871
Lauren,Old_North_End_Cemetery,5,M,1893,1899
Lauren,Old_North_End_Cemetery,5,F,1802,1897
Lauren,Old_North_End_Cemetery,5,M,1839,1865
Lauren,Old_North_End_Cemetery,5,M,1826,1886
Lauren,Old_North_End_Cemetery,5,F,1837,1890
Lauren,Old_North_End_Cemetery,5,M,1825,1891
Lauren,Old_North_End_Cemetery,5,F,1830,1877
Lauren,Old_North_End_Cemetery,5,F,1859,1865
Lauren,Old_North_End_Cemetery,5,F,1875,1899
Lauren,Old_North_End_Cemetery,5,F,1825,1875
Lauren,Old_North_End_Cemetery,5,M,1823,1892
Lauren,Old_North_End_Cemetery,5,M,1833,1878
Lauren,Old_North_End_Cemetery,5,M,1804,1865
Lauren,Old_North_End_Cemetery,5,M,1860,1896
Lauren,Old_North_End_Cemetery,5,M,1918,1964
Lauren,Old_North_End_Cemetery,5,F,1901,1974
Lauren,Old_North_End_Cemetery,5,M,1910,1968
Lauren,Old_North_End_Cemetery,5,M,1919,1986
Lauren,Old_North_End_Cemetery,5,F,1921,1999
Lauren,Old_North_End_Cemetery,5,M,1902,1936
Lauren,Old_North_End_Cemetery,5,M,1908,1992
Lauren,Old_North_End_Cemetery,5,M,1922,1953
Lauren,Old_North_End_Cemetery,5,M,1909,1988
Lauren,Old_North_End_Cemetery,5,M,1905,1919
Lauren,Old_North_End_Cemetery,5,M,1920,1977
Lauren,Old_North_End_Cemetery,5,M,1917,1985
Lauren,Old_North_End_Cemetery,5,M,1900,1959
Lauren,Old_North_End_Cemetery,5,F,1908,1961
Lauren,Old_North_End_Cemetery,5,F,1912,1917
Lauren,Old_North_End_Cemetery,5,M,1908,1949
Lauren,Old_North_End_Cemetery,5,M,1920,1961
Lauren,Old_North_End_Cemetery,5,F,1910,1979
Lauren,Old_North_End_Cemetery,5,M,1900,1950
Lauren,Old_North_End_Cemetery,5,F,1909,1957
Lauren,Old_North_End_Cemetery,5,M,1922,1953
Lauren,Old_North_End_Cemetery,5,M,1909,1974
Lauren,Old_North_End_Cemetery,5,F,1913,1991
Lauren,Old_North_End_Cemetery,5,M,1914,1996
Lauren,Old_North_End_Cemetery,5,M,1923,1963
Lauren,Old_North_End_Cemetery,6,F,1836,1893
Lauren,Old_North_End_Cemetery,6,M,1868,1890
Lauren,Old_North_End_Cemetery,6,F,1878,1888
Lauren,Old_North_End_Cemetery,6,M,1856,1888
Lauren,Old_North_End_Cemetery,6,M,1859,1893
Lauren,Old_North_End_Cemetery,6,F,1882,1886
Lauren,Old_North_End_Cemetery,6,F,1804,1886
Lauren,Old_North_End_Cemetery,6,F,1845,1899
Lauren,Old_North_End_Cemetery,6,M,1860,1893
Lauren,Old_North_End_Cemetery,6,M,1817,1894
Lauren,Old_North_End_Cemetery,6,M,1827,1893
Lauren,Old_North_End_Cemetery,6,M,1837,1884
Lauren,Old_North_End_Cemetery,6,M,1851,1886
Lauren,Old_North_End_Cemetery,6,F,1882,1887
Lauren,Old_North_End_Cemetery,6,F,1867,1895
Lauren,Old_North_End_Cemetery,6,M,1819,1895
Lauren,Old_North_End_Cemetery,6,F,1817,1898
Lauren,Old_North_End_Cemetery,6,M,1860,1887
Lauren,Old_North_End_Cemetery,6,M,1876,1887
Lauren,Old_North_End_Cemetery,6,M,1857,1887
Lauren,Old_North_End_Cemetery,6,F,1839,1893
Lauren,Old_North_End_Cemetery,6,F,1877,1896
Lauren,Old_North_End_Cemetery,6,M,1833,1889
Lauren,Old_North_End_Cemetery,6,F,1874,1890
Lauren,Old_North_End_Cemetery,6,F,1810,1891
Lauren,Old_North_End_Cemetery,6,M,1902,1976
Lauren,Old_North_End_Cemetery,6,M,1911,1946
Lauren,Old_North_End_Cemetery,6,F,1913,1980
Lauren,Old_North_End_Cemetery,6,M,1906,1959
Lauren,Old_North_End_Cemetery,6,F,1911,1973
Lauren,Old_North_End_Cemetery,6,F,1905,1983
Lauren,Old_North_End_Cemetery,6,F,1910,1970
Lauren,Old_North_End_Cemetery,6,F,1904,1988
Lauren,Old_North_End_Cemetery,6,F,1909,1960
Lauren,Old_North_End_Cemetery,6,M,1907,1912
Lauren,Old_North_End_Cemetery,6,M,1981,1984
Lauren,Old_North_End_Cemetery,6,M,1904,1991
Lauren,Old_North_End_Cemetery,6,M,1904,1931
Lauren,Old_North_End_Cemetery,6,F,1904,1980
Lauren,Old_North_End_Cemetery,6,M,1927,1942
Lauren,Old_North_End_Cemetery,6,M,1907,1955
Lauren,Old_North_End_Cemetery,6,F,1905,1994
Lauren,Old_North_End_Cemetery,6,F,1901,1984
Lauren,Old_North_End_Cemetery,6,M,1928,1934
Lauren,Old_North_End_Cemetery,6,M,1932,1935
Lauren,Old_North_End_Cemetery,6,M,1906,1910
Lauren,Old_North_End_Cemetery,6,M,1904,1940
Lauren,Old_North_End_Cemetery,6,M,1901,1939
Lauren,Old_North_End_Cemetery,6,M,1912,1925
Lauren,Old_North_End_Cemetery,6,M,1901,1982
Lauren,Old_North_End_Cemetery,7,F,1814,1872
Lauren,Old_North_End_Cemetery,7,F,1829,1898
Lauren,Old_North_End_Cemetery,7,M,1867,1870
Lauren,Old_North_End_Cemetery,7,M,1850,1885
Lauren,Old_North_End_Cemetery,7,F,1851,1899
Lauren,Old_North_End_Cemetery,7,M,1887,1890
Lauren,Old_North_End_Cemetery,7,M,1884,1886
Lauren,Old_North_End_Cemetery,7,M,1865,1881
Lauren,Old_North_End_Cemetery,7,F,1862,1891
Lauren,Old_North_End_Cemetery,7,M,1870,1897
Lauren,Old_North_End_Cemetery,7,F,1854,1857
Lauren,Old_North_End_Cemetery,7,F,1874,1886
Lauren,Old_North_End_Cemetery,7,F,1847,1876
Lauren,Old_North_End_Cemetery,7,M,1890,1895
Lauren,Old_North_End_Cemetery,7,F,1888,1890
Lauren,Old_North_End_Cemetery,7,M,1824,1895
Lauren,Old_North_End_Cemetery,7,M,1820,1899
Lauren,Old_North_End_Cemetery,7,M,1875,1899
Lauren,Old_North_End_Cemetery,7,M,1824,1892
Lauren,Old_North_End_Cemetery,7,M,1882,1892
Lauren,Old_North_End_Cemetery,7,F,1868,1897
Lauren,Old_North_End_Cemetery,7,F,1866,1897
Lauren,Old_North_End_Cemetery,7,M,1839,1881
Lauren,Old_North_End_Cemetery,7,F,1858,1889
Lauren,Old_North_End_Cemetery,7,F,1821,1897
Lauren,Old_North_End_Cemetery,7,F,1905,1978
Lauren,Old_North_End_Cemetery,7,M,1926,1970
Lauren,Old_North_End_Cemetery,7,M,1921,1956
Lauren,Old_North_End_Cemetery,7,M,1925,1986
Lauren,Old_North_End_Cemetery,7,M,1919,1986
Lauren,Old_North_End_Cemetery,7,F,1921,1999
Lauren,Old_North_End_Cemetery,7,M,1910,1962
Lauren,Old_North_End_Cemetery,7,M,1910,1930
Lauren,Old_North_End_Cemetery,7,F,1913,1982
Lauren,Old_North_End_Cemetery,7,F,1909,1974
Lauren,Old_North_End_Cemetery,7,M,1904,1960
Lauren,Old_North_End_Cemetery,7,F,1921,1985
Lauren,Old_North_End_Cemetery,7,M,1901,1965
Lauren,Old_North_End_Cemetery,7,F,1928,1937
Lauren,Old_North_End_Cemetery,7,M,1903,1970
Lauren,Old_North_End_Cemetery,7,F,1901,1960
Lauren,Old_North_End_Cemetery,7,F,1916,1945
Lauren,Old_North_End_Cemetery,7,F,1907,1936
Lauren,Old_North_End_Cemetery,7,F,1901,1988
Lauren,Old_North_End_Cemetery,7,M,1900,1952
Lauren,Old_North_End_Cemetery,7,F,1909,1996
Lauren,Old_North_End_Cemetery,7,M,1929,1966
Lauren,Old_North_End_Cemetery,7,F,1901,1994
Lauren,Old_North_End_Cemetery,7,M,1912,1952
Lauren,Old_North_End_Cemetery,7,F,1911,1975
Lauren,Old_North_End_Cemetery,8,M,1827,1895
Lauren,Old_North_End_Cemetery,8,M,1800,1877
Lauren,Old_North_End_Cemetery,8,M,1862,1892
Lauren,Old_North_End_Cemetery,8,M,1807,1872
Lauren,Old_North_End_Cemetery,8,F,1812,1857
Lauren,Old_North_End_Cemetery,8,F,1821,1895
Lauren,Old_North_End_Cemetery,8,M,1840,1858
Lauren,Old_North_End_Cemetery,8,F,1855,1888
Lauren,Old_North_End_Cemetery,8,F,1848,1870
Lauren,Old_North_End_Cemetery,8,M,1852,1873
Lauren,Old_North_End_Cemetery,8,M,1846,1862
Lauren,Old_North_End_Cemetery,8,F,1829,1866
Lauren,Old_North_End_Cemetery,8,M,1831,1859
Lauren,Old_North_End_Cemetery,8,F,1810,1875
Lauren,Old_North_End_Cemetery,8,M,1826,1875
Lauren,Old_North_End_Cemetery,8,F,1857,1860
Lauren,Old_North_End_Cemetery,8,M,1848,1863
Lauren,Old_North_End_Cemetery,8,M,1847,1866
Lauren,Old_North_End_Cemetery,8,F,1821,1897
Lauren,Old_North_End_Cemetery,8,F,1847,1890
Lauren,Old_North_End_Cemetery,8,M,1854,1859
Lauren,Old_North_End_Cemetery,8,M,1817,1859
Lauren,Old_North_End_Cemetery,8,F,1818,1864
Lauren,Old_North_End_Cemetery,8,M,1854,1888
Lauren,Old_North_End_Cemetery,8,M,1852,1888
Lauren,Old_North_End_Cemetery,8,F,1900,1958
Lauren,Old_North_End_Cemetery,8,F,1902,1969
Lauren,Old_North_End_Cemetery,8,M,1907,1984
Lauren,Old_North_End_Cemetery,8,M,1915,1957
Lauren,Old_North_End_Cemetery,8,M,1914,1980
Lauren,Old_North_End_Cemetery,8,M,1905,1948
Lauren,Old_North_End_Cemetery,8,M,1906,1909
Lauren,Old_North_End_Cemetery,8,F,1902,1981
Lauren,Old_North_End_Cemetery,8,M,1903,1965
Lauren,Old_North_End_Cemetery,8,M,1953,1965
Lauren,Old_North_End_Cemetery,8,M,1931,1932
Lauren,Old_North_End_Cemetery,8,M,1918,1992
Lauren,Old_North_End_Cemetery,8,M,1910,1998
Lauren,Old_North_End_Cemetery,8,F,1908,1995
Lauren,Old_North_End_Cemetery,8,M,1906,1944
Lauren,Old_North_End_Cemetery,8,F,1960,1963
Lauren,Old_North_End_Cemetery,8,F,1900,1923
Lauren,Old_North_End_Cemetery,8,F,1908,1929
Lauren,Old_North_End_Cemetery,8,F,1905,1978
Lauren,Old_North_End_Cemetery,8,F,1926,1970
Lauren,Old_North_End_Cemetery,8,M,1941,1955
Lauren,Old_North_End_Cemetery,8,F,1907,1957
Lauren,Old_North_End_Cemetery,8,F,1904,1990
Lauren,Old_North_End_Cemetery,8,M,1909,1965
Lauren,Old_North_End_Cemetery,8,F,1909,1993
Lauren,Old_North_End_Cemetery,9,M,1890,1893
Lauren,Old_North_End_Cemetery,9,M,1804,1816
Lauren,Old_North_End_Cemetery,9,F,1811,1863
Lauren,Old_North_End_Cemetery,9,F,1835,1857
Lauren,Old_North_End_Cemetery,9,F,1833,1887
Lauren,Old_North_End_Cemetery,9,F,1884,1886
Lauren,Old_North_End_Cemetery,9,M,1890,1892
Lauren,Old_North_End_Cemetery,9,M,1819,1883
Lauren,Old_North_End_Cemetery,9,F,1839,1869
Lauren,Old_North_End_Cemetery,9,M,1859,1865
Lauren,Old_North_End_Cemetery,9,F,1825,1880
